room_id,host_id,host_name,room_type,neighborhood,Zipcode,City,State,reviews,accommodates,bedrooms,bathrooms,nightly-price,weekly-price,monthly-price,minstay,latitude,longitude,collected
7246693,37940834,George,Entire home/apt,,,Toronto,ON,7,3,2,2,153,911,3644,4,43.6082978415,-79.5576698831,07/06/2017 06:10:05
11773563,62676831,Cindy,Private room,,,Toronto,Ontario,0,2,1,1,76,536,2144,5,43.6083361524,-79.5570597481,07/06/2017 06:10:14
13224752,74216906,Summer,Entire home/apt,,,Toronto,ON,38,2,1,1,36,241,965,1,43.608565388,-79.5500725138,07/06/2017 06:10:32
9755875,8304046,Silvie,Entire home/apt,,,Toronto,ON,7,8,4,4,337,1581,6323,3,43.6039735047,-79.5517157132,07/06/2017 06:10:44
13477083,77135037,Molly,Private room,,,Toronto,ON,1,1,1,1,22,139,557,1,43.6086701729,-79.5516480615,07/06/2017 06:10:53
17845133,37239022,Tsering/Lobsang,Entire home/apt,,,Toronto,ON,19,4,2,1,62,455,1822,2,43.6074540997,-79.5429411872,07/06/2017 06:11:08
3700534,6041037,Kirill,Entire home/apt,,,Toronto,Ontario,18,2,1,1,53,233,842,2,43.603877041,-79.5403908085,07/06/2017 06:11:21
18199503,43719832,Victoria,Entire home/apt,,,Toronto,ON,3,3,1,1,56,354,1415,1,43.606387097,-79.5365160813,07/06/2017 06:11:34
7966411,41946894,Anabel And Adel,Entire home/apt,,,Toronto,ON,45,2,1,1,80,402,1516,2,43.6046264411,-79.5301915543,07/06/2017 06:11:57
7501441,39295671,Andre,Entire home/apt,,,Toronto,ON,1,2,1,1,78,466,1865,1,43.6051632582,-79.530673053,07/06/2017 06:12:07
16507113,24543770,Adam,Entire home/apt,,,Toronto,Ontario,4,4,1,1,88,482,1929,5,43.6046312588,-79.5240425746,07/06/2017 06:12:21
13435303,76646208,Arjana,Entire home/apt,,,Toronto,ON,6,2,0,1,62,348,1393,1,43.6028241994,-79.5162322219,07/06/2017 06:12:46
17847704,29679062,Keyshine,Entire home/apt,,,Toronto,ON,0,4,2,1,54,375,1500,2,43.6035431599,-79.5055446242,07/06/2017 06:13:02
17415563,117768695,Colomba,Entire home/apt,,,Toronto,ON,1,2,2,1,206,370,1479,2,43.6044016995,-79.5047579195,07/06/2017 06:13:11
5785888,30018135,Kristina,Private room,,,Toronto,Ontario,0,2,1,1,306,1531,8574,1,43.6042431744,-79.5075086352,07/06/2017 06:13:18
10879388,1552850,"Shanna, Dan, Kaplin, Grayson And Ku",Private room,,,Toronto,Ontario,20,1,1,2,23,161,643,3,43.6037274686,-79.5009731225,07/06/2017 06:13:30
12810167,30066525,Mark,Private room,,,Toronto,ON,9,1,1,1,34,236,943,2,43.6030465113,-79.4992612419,07/06/2017 06:13:39
5258441,1552850,"Shanna, Dan, Kaplin, Grayson And Ku",Private room,,,Toronto,ON,23,1,1,2,25,194,766,3,43.6039583894,-79.4992171708,07/06/2017 06:13:48
16204975,105847574,Daniela,Entire home/apt,,,Toronto,ON,28,2,1,1,69,402,1608,2,43.6059117996,-79.4938324565,07/06/2017 06:14:06
13699080,58100203,Vivs,Entire home/apt,,,Toronto,ON,6,3,1,1,152,527,1752,2,43.6038956349,-79.4973344779,07/06/2017 06:14:15
18124029,43798050,Patricia,Private room,,,Toronto,ON,2,2,0,1.5,31,214,857,1,43.6062743462,-79.4979882387,07/06/2017 06:14:23
14738625,58100203,Vivs,Entire home/apt,,,Toronto,ON,4,4,2,1,213,900,3601,2,43.6045579206,-79.4967962872,07/06/2017 06:14:31
15830203,58100203,Vivs,Entire home/apt,,,Toronto,ON,1,6,3,2,366,1436,5745,2,43.6045437679,-79.4971491483,07/06/2017 06:14:44
5706017,29582087,Andrea,Entire home/apt,,,Toronto,ON,0,1,1,1,39,230,612,2,43.6080356461,-79.4913734534,07/06/2017 06:14:58
15523284,2539780,Imad,Entire home/apt,,,Toronto,ON,6,4,1,1,95,563,2251,2,43.6102323649,-79.55929895,07/06/2017 06:19:34
13538499,17513654,Brian,Entire home/apt,,,Toronto,ON,4,4,2,1,160,691,2765,6,43.6098468412,-79.5601897192,07/06/2017 06:19:43
18827774,36884716,Nick,Entire home/apt,,,Toronto,ON,0,4,2,2,248,670,2679,5,43.6107907082,-79.5603390564,07/06/2017 06:19:51
18877281,36884716,Nick,Entire home/apt,,,Toronto,ON,0,2,0,1,119,354,1415,5,43.6102350644,-79.5614672301,07/06/2017 06:20:00
2456920,4610412,Sherry,Entire home/apt,,,Toronto,ON,17,4,1,1,62,429,1531,20,43.6108719501,-79.5563043078,07/06/2017 06:20:14
16230002,14207147,Diana,Entire home/apt,,,Toronto,ON,9,3,1,1,84,455,1822,3,43.6093282876,-79.5562677206,07/06/2017 06:20:26
5642413,4610412,Sherry,Entire home/apt,,,Toronto,ON,12,4,1,2,58,383,1531,20,43.6090515981,-79.5576198452,07/06/2017 06:20:34
6854033,14480294,Leo,Entire home/apt,,,Toronto,ON,5,4,2,2,165,651,2450,14,43.608789445,-79.5583145582,07/06/2017 06:20:43
18935316,47855766,Elite,Entire home/apt,,,Toronto,ON,2,2,1,2,192,938,3751,2,43.609413009,-79.5571483174,07/06/2017 06:20:54
7111847,37254762,Bryn,Entire home/apt,,,Toronto,Ontario,0,2,1,1,76,536,1531,7,43.6098202035,-79.558237037,07/06/2017 06:21:07
14282377,74216906,Summer,Entire home/apt,,,Toronto,ON,41,2,1,1,36,263,1050,2,43.6089556042,-79.5506774448,07/06/2017 06:21:23
7256445,37991968,Jennifer,Entire home/apt,,,Toronto,Ontario,0,6,3,2.5,114,798,3194,1,43.6105449695,-79.5502499397,07/06/2017 06:21:35
18188862,51034476,Shannon,Entire home/apt,,,Toronto,ON,5,3,2,2,141,531,2122,1,43.6110020805,-79.5423971045,07/06/2017 06:21:53
18786273,106310804,Janet,Private room,,,Toronto,ON,0,2,1,1,46,322,1286,2,43.6135425213,-79.5068976411,07/06/2017 06:22:26
